      BASE;           1.562;           0.002;           0.000;        100;         50;         541.183;         263.040;         266.920;         263.913;           0.700 ( 0.265 %);   2890.871
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         405.563;         245.180;         249.120;         246.820;           0.792 ( 0.321 %);   3091.076
