       IJK;         234.375;           0.229;           0.000;        100;         50;      842377.380;      915420.500;      845539.288;       12915.698 ( 1.528 %);     90.231
       IKJ;         234.375;           0.229;           0.000;        100;         50;      271785.060;      343782.460;      274605.959;       12419.107 ( 4.523 %);    277.831
       IEX;         234.375;           0.229;           0.000;        100;         50;      272142.320;      272850.480;      272734.193;         111.586 ( 0.041 %);    279.737
   UNROLL4;         234.375;           0.229;           0.000;        100;         50;      444908.420;      445339.380;      444981.613;          85.213 ( 0.019 %);    171.454
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;      439803.000;      510956.360;      442017.418;       12375.800 ( 2.800 %);    172.604
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      229180.600;      230907.980;      229435.598;         272.712 ( 0.119 %);    332.529
