       IJK;         234.375;           0.229;           0.000;        100;         50;      861547.000;      934154.560;      864582.893;       12500.104 ( 1.446 %);     88.244
       IKJ;         234.375;           0.229;           0.000;        100;         50;      272123.720;      272813.080;      272731.907;         112.811 ( 0.041 %);    279.740
       IEX;         234.375;           0.229;           0.000;        100;         50;      271761.580;      341944.840;      274600.543;       12097.047 ( 4.405 %);    277.836
   UNROLL4;         234.375;           0.229;           0.000;        100;         50;      444307.860;      444947.760;      444503.624;          96.799 ( 0.022 %);    171.639
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;      439572.600;      510706.720;      441797.752;       12370.464 ( 2.800 %);    172.690
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      229242.240;      231238.680;      229437.493;         339.616 ( 0.148 %);    332.526
