       IJK;         234.375;           0.229;           0.000;        100;         50;      927908.120;      999138.500;      930212.149;       12374.265 ( 1.330 %);     82.018
       IKJ;         234.375;           0.229;           0.000;        100;         50;      512755.860;      513173.320;      512876.978;          74.033 ( 0.014 %);    148.757
       IEX;         234.375;           0.229;           0.000;        100;         50;      511903.740;      583775.280;      514831.602;       12377.507 ( 2.404 %);    148.192
   UNROLL4;         234.375;           0.229;           0.000;        100;         50;      467434.860;      467921.520;      467569.049;         102.468 ( 0.022 %);    163.172
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;      502553.900;      502825.600;      502714.554;          43.854 ( 0.009 %);    151.764
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      229332.600;      230991.560;      229534.388;         286.027 ( 0.125 %);    332.386
