       IJK;         234.375;           0.229;           0.000;        100;         50;      931004.460;     1002808.420;      933643.801;       12420.474 ( 1.330 %);     81.716
       IKJ;         234.375;           0.229;           0.000;        100;         50;      647194.720;      648245.380;      647281.916;         182.643 ( 0.028 %);    117.868
       IEX;         234.375;           0.229;           0.000;        100;         50;      647153.380;      718235.600;      649362.964;       12363.964 ( 1.904 %);    117.490
   UNROLL4;         234.375;           0.229;           0.000;        100;         50;      481292.320;      552465.440;      483735.644;       12338.354 ( 2.551 %);    157.718
   UNROLL8;         234.375;           0.229;           0.000;        100;         50;      506836.340;      508253.580;      507981.687;         349.471 ( 0.069 %);    150.190
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      229120.560;      230843.300;      229314.973;         296.409 ( 0.129 %);    332.704
