      BASE;           1.562;           0.002;           0.000;        100;         50;        2600.591;         267.660;         273.640;         268.270;           1.011 ( 0.377 %);   2843.927
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        6533.271;         259.300;         262.920;         259.898;           0.626 ( 0.241 %);   2935.539
