   clangO0;         234.375;           0.229;           0.000;        100;         50;     1924877.360;     1996124.240;     1929342.721;       14771.797 ( 0.766 %);     39.544
   clangO1;         234.375;           0.229;           0.000;        100;         50;      502553.900;      502825.600;      502714.554;          43.854 ( 0.009 %);    151.764
   clangO2;         234.375;           0.229;           0.000;        100;         50;      439128.640;      510540.720;      441377.079;       12416.514 ( 2.813 %);    172.854
   clangO3;         234.375;           0.229;           0.000;        100;         50;      439803.000;      510956.360;      442017.418;       12375.800 ( 2.800 %);    172.604
   clangOfast;         234.375;           0.229;           0.000;        100;         50;      439572.600;      510706.720;      441797.752;       12370.464 ( 2.800 %);    172.690
   gccO0;         234.375;           0.229;           0.000;        100;         50;     2523318.460;     2594838.800;     2532220.505;       23552.613 ( 0.930 %);     30.129
   gccO1;         234.375;           0.229;           0.000;        100;         50;      507157.300;      507575.860;      507445.218;          64.948 ( 0.013 %);    150.349
   gccO2;         234.375;           0.229;           0.000;        100;         50;      506836.340;      508253.580;      507981.687;         349.471 ( 0.069 %);    150.190
   gccO3;         234.375;           0.229;           0.000;        100;         50;      286725.240;      358240.780;      289305.619;       12375.370 ( 4.278 %);    263.714
   gccOfast;         234.375;           0.229;           0.000;        100;         50;      287425.900;      287954.660;      287852.290;          85.623 ( 0.030 %);    265.045
